TWEET,TWEET TIMESTAMP,ORIGINAL LOCALE,ANNOTATION,RAW EN TEXT,EMO VECTOR
676475838062292992,Mon Dec 14 18:56:22 +0000 2015,en,anger, ANGER &amp   RAGE TODAY!!! ♫ ,[1  0  0  0  0  0  0  0],
676474095828148225,Mon Dec 14 18:49:27 +0000 2015,en,anger,log base 2 of 64 = how many fish we have left D':  5StagesOfGrief  Denial  Anger  Bargaining  Depression  Acceptance  FishyFish  LoLo,[1  0  0  0  0  0  0  0],
676472746054918144,Mon Dec 14 18:44:05 +0000 2015,en,anger, Anger expression increases  influence for men  but decreases influence for women  during group deliberation ,[1  0  0  0  0  0  0  0],
676471736045555712,Mon Dec 14 18:40:04 +0000 2015,en,anger,Think you don’t have anything to forgive? You’d be surprised. Listen now to find out: ,[0  0  0  0  0  0  1  0],
676471479811235840,Mon Dec 14 18:39:03 +0000 2015,en,anger, Humiliation is a more intensely felt  emotion than that of  happiness or  anger. @MonicaLewinsky  ,[1  0  0  1  0  0  0  0],
676470478618402817,Mon Dec 14 18:35:04 +0000 2015,en,anger,Think you don’t have anything to forgive? You’d be surprised. Listen now to find out: ,[0  0  0  0  0  0  1  0],
676468366547161088,Mon Dec 14 18:26:41 +0000 2015,en,anger, Anger is the worse thing to acquire. Quit it and live life King Size,[1  0  0  0  1  0  0  0],
676467696418971648,Mon Dec 14 18:24:01 +0000 2015,en,anger,Maya Angelou: "Bitterness is like cancer. It eats upon the host. But anger is like fire. It burns it all clean."  anger,[2  0  0  1  0  0  0  0],
676466757197037568,Mon Dec 14 18:20:17 +0000 2015,en,anger,Think you don’t have anything to forgive? You’d be surprised. Listen now to find out: ,[0  0  0  0  0  0  1  0],
676465484997509123,Mon Dec 14 18:15:14 +0000 2015,en,anger,Think you don’t have anything to forgive? You’d be surprised. Listen now to find out: ,[0  0  0  0  0  0  1  0],
676464707935584260,Mon Dec 14 18:12:09 +0000 2015,en,anger,RT drpokea How to Tell If Your Child Has Anger Issues? ,[1  0  0  0  0  0  0  0],
676464215813726208,Mon Dec 14 18:10:11 +0000 2015,en,anger,Think you don’t have anything to forgive? You’d be surprised. Listen now to find out: ,[0  0  0  0  0  0  1  0],
676463532896968704,Mon Dec 14 18:07:28 +0000 2015,en,anger,How to Tell If Your Child Has Anger Issues? ,[1  0  0  0  0  0  0  0],
676462981182595073,Mon Dec 14 18:05:17 +0000 2015,en,anger,Think you don’t have anything to forgive? You’d be surprised. Listen now to find out: ,[0  0  0  0  0  0  1  0],
676476557540483072,Mon Dec 14 18:59:14 +0000 2015,en,anger,HANGRY!!! 😩😠  hungry  angry,[1  0  0  0  0  0  0  0],
676474482895265793,Mon Dec 14 18:50:59 +0000 2015,en,anger,The homeworks make me angry and it's monday  study  angry  mondaymotivation  📝,[1  0  0  0  0  0  0  0],
676474409964695552,Mon Dec 14 18:50:42 +0000 2015,en,anger,Big decision to make sooner rather than later  i cant keep putting it off  time is running out.  annoyed  angry  Frustrated,[1  0  0  0  1  0  0  0],
676473788603723776,Mon Dec 14 18:48:14 +0000 2015,en,anger,Random CA and NY numbers calling me. 🙄 literally every 5 minutes. Like quit.  angry,[1  0  0  0  0  0  0  0],
676470050316902400,Mon Dec 14 18:33:22 +0000 2015,en,anger,My current mood =🖕🏻  mood  angry  mondaysucks,[1  0  0  0  0  0  0  0],
676469659068211202,Mon Dec 14 18:31:49 +0000 2015,en,anger,@DWP how do you justify refusing PIP on medical grounds without even consulting the pro's who look after me. Shocking assessment too  angry,[1  0  0  0  0  0  0  0],
676469307748954113,Mon Dec 14 18:30:25 +0000 2015,en,anger,That joy you get when your knuckle refractures in the middle of the night and the bone shard pushes into the muscles of your finger  angry.,[1  0  0  1  0  1  1  0],
676469215239536640,Mon Dec 14 18:30:03 +0000 2015,en,anger,@Lee_Smith1992 @ktg64 @jade_mclaren3 I left my mark on the managers door after that game lol@  Angry,[1  0  0  0  0  0  0  0],
676467357435502593,Mon Dec 14 18:22:40 +0000 2015,en,anger,@Se_Railway thank u heating off. Passengers could not get in @ Lewisham. It's got heated for those squashed or could not get on.  angry,[2  2  0  0  1  0  0  0],
676465395109351425,Mon Dec 14 18:14:52 +0000 2015,en,anger,Its a lot easier to be  angry at  someone then it is to tell them u r  hurt,[1  0  0  0  0  0  0  0],
676465331787857920,Mon Dec 14 18:14:37 +0000 2015,en,anger,@reddroostermann This is how  LiberalsUnite when they get  angry  holdyourbreath  tantrums ,[1  0  0  0  0  0  1  0],
676464702839484416,Mon Dec 14 18:12:07 +0000 2015,en,anger,@APPLEOFFIClAL after following your instructions to resolve a prblm you have wiped my phone 2wks ltr you hve STILL not resolved it!  Angry,[1  0  0  1  0  0  0  0],
676458517503569920,Mon Dec 14 17:47:33 +0000 2015,en,anger,RT @Babar__Ahmad: For every minute you are  angry you lose sixty seconds of  happiness.  -Ralph Waldo Emerson,[1  0  0  1  0  0  0  0],
676458035485745152,Mon Dec 14 17:45:38 +0000 2015,en,anger,For every minute you are  angry you lose sixty seconds of  happiness.  -Ralph Waldo Emerson,[1  0  0  1  0  0  0  0],
676455409176190976,Mon Dec 14 17:35:12 +0000 2015,en,anger,U mad bro?  Computers now know when you're  angry" ,[1  0  0  1  0  0  0  0],
676256323802148864,Mon Dec 14 04:24:06 +0000 2015,en,anger,@taylordavey__ @thedougalz I don't love him anymore  annoyance,[1  0  0  1  0  0  0  0],
675867089316544513,Sun Dec 13 02:37:25 +0000 2015,en,anger,This may make me a terrible person. But I really hope Sam dies in the  walkingdead  annoyance  imabadman,[1  0  1  0  0  0  0  0],
675789859949256704,Sat Dec 12 21:30:32 +0000 2015,en,anger,Wonder why the Sesame Seed bagels are pre-sliced but plain aren't?  hmph  annoyance  ungratefulcow  jobhalfdone ,[1  0  0  0  0  0  1  0],
675785617477787648,Sat Dec 12 21:13:41 +0000 2015,en,anger,I fucking hate phone calls! no one seems to be able to remember that my phone is broken and I cant swipe to answer calls  annoyance,[1  0  0  2  1  0  0  0],
675781517390381056,Sat Dec 12 20:57:23 +0000 2015,en,anger,Today's lesson... ArmyvNavy - audio + leaf blowers =  annoyance.  The final will be open book.… ,[1  0  0  0  0  0  0  0],
675404278849236992,Fri Dec 11 19:58:23 +0000 2015,en,anger,@allyyobrien shut up ally  annoyance,[1  0  0  0  0  0  0  0],
675312769965494272,Fri Dec 11 13:54:45 +0000 2015,en,anger,For Rent  365SelfDiscovery  Photo project  Blah  Annoyance  Moving ,[1  0  0  0  0  0  0  0],
674776130147233792,Thu Dec 10 02:22:20 +0000 2015,en,anger,Ahh Sportsnet announcer "Mahhnntreal Canadiens"  Annoyance,[1  0  0  0  0  0  0  0],
674652605163765760,Wed Dec 09 18:11:30 +0000 2015,en,anger,RT @FxckThisJournal: RELISH THE POWER OF WORDS!  methinks  words  writingtips  amwriting  comments  annoyance ,[1  0  0  1  0  0  0  0],
674576778120314880,Wed Dec 09 13:10:11 +0000 2015,en,anger,RT @FxckThisJournal: RELISH THE POWER OF WORDS!  methinks  words  writingtips  amwriting  comments  annoyance ,[1  0  0  1  0  0  0  0],
674571231744626688,Wed Dec 09 12:48:09 +0000 2015,en,anger,RT @FxckThisJournal: RELISH THE POWER OF WORDS!  methinks  words  writingtips  amwriting  comments  annoyance ,[1  0  0  1  0  0  0  0],
674571136789692416,Wed Dec 09 12:47:46 +0000 2015,en,anger,RT @FxckThisJournal: RELISH THE POWER OF WORDS!  methinks  words  writingtips  amwriting  comments  annoyance ,[1  0  0  1  0  0  0  0],
676085165085564928,Sun Dec 13 17:03:59 +0000 2015,en,anger,An insightful YouTube comment from one "Jerry Counts".   racist  belligerent   losers ,[1  0  0  0  0  0  0  0],
674742558837329920,Thu Dec 10 00:08:56 +0000 2015,en,anger,a lesser extent  ben zobrist money to mum*  theapprentice  conceited  slippery  thick  belligerent  crap 15 minutes to meet martin shkreli.,[1  0  0  0  0  0  0  0],
674711616269586432,Wed Dec 09 22:05:59 +0000 2015,en,anger, Asshole   TheApprentice  Conceited  Slippery  Thick  Belligerent  Crap 15 Seconds on  TheApprentice  blowsmoke,[1  0  0  0  0  0  0  0],
674548597870960640,Wed Dec 09 11:18:12 +0000 2015,en,anger,RT @BriggsDaKid: Been Lowkey But Trust Me Me And My Team Been Making Power Moves!!!  Belligerent,[1  0  0  0  0  0  0  0],
674547022804983808,Wed Dec 09 11:11:57 +0000 2015,en,anger,Been Lowkey But Trust Me Me And My Team Been Making Power Moves!!!  Belligerent,[1  0  0  0  0  0  0  0],
676476979676254212,Mon Dec 14 19:00:54 +0000 2015,en,anger,RT @BigBadToyStore: 1/6 Scale  Berserk Figure - Guts ,[1  0  0  0  0  0  0  0],
676458315904393216,Mon Dec 14 17:46:45 +0000 2015,en,anger,RT @BigBadToyStore: 1/6 Scale  Berserk Figure - Guts ,[1  0  0  0  0  0  0  0],
676437732944580609,Mon Dec 14 16:24:57 +0000 2015,en,anger,RT @BigBadToyStore: 1/6 Scale  Berserk Figure - Guts ,[1  0  0  0  0  0  0  0],
676435762905264128,Mon Dec 14 16:17:08 +0000 2015,en,anger,RT @BigBadToyStore: 1/6 Scale  Berserk Figure - Guts ,[1  0  0  0  0  0  0  0],
676426760368492544,Mon Dec 14 15:41:21 +0000 2015,en,anger,RT @BigBadToyStore: 1/6 Scale  Berserk Figure - Guts ,[1  0  0  0  0  0  0  0],
676423085801668608,Mon Dec 14 15:26:45 +0000 2015,en,anger,RT @_MangaVSAnime:  Berserk Manga to Anime - Guts &amp  Griffith ,[1  0  0  0  0  0  0  0],
676419127020515328,Mon Dec 14 15:11:01 +0000 2015,en,anger,RT @BigBadToyStore: 1/6 Scale  Berserk Figure - Guts ,[1  0  0  0  0  0  0  0],
676418954026323968,Mon Dec 14 15:10:20 +0000 2015,en,anger,RT @BigBadToyStore: 1/6 Scale  Berserk Figure - Guts ,[1  0  0  0  0  0  0  0],
