TWEET,TWEET TIMESTAMP,ORIGINAL LOCALE,ANNOTATION,RAW EN TEXT,EMO VECTOR,CLUSTER TAG
670154155298841000,Fri Nov 27 08:16:16 +0000 2015,en,anger,RT @Tommy_Penaflor: Forgive people in your life even those who are not sorry for their actions! Holding on to anger only hurts you not them…,[1  0  0  0  1  0  0  0],anger,
670154143873417000,Fri Nov 27 08:16:13 +0000 2015,en,anger,RT @Tommy_Penaflor: Forgive people in your life even those who are not sorry for their actions! Holding on to anger only hurts you not them…,[1  0  0  0  1  0  0  0],anger,
670154141465887000,Fri Nov 27 08:16:12 +0000 2015,en,anger,RT @Tommy_Penaflor: Forgive people in your life even those who are not sorry for their actions! Holding on to anger only hurts you not them…,[1  0  0  0  1  0  0  0],anger,
670154139838472000,Fri Nov 27 08:16:12 +0000 2015,en,anger,RT @Tommy_Penaflor: Forgive people in your life even those who are not sorry for their actions! Holding on to anger only hurts you not them…,[1  0  0  0  1  0  0  0],anger,
670154084817756000,Fri Nov 27 08:15:59 +0000 2015,en,anger,Manchester Evening News: Manchester United were not always exciting under Sir Alex Ferguson - Ferdinand https://t.co/WYEXaxiyU7  mufc,[0  0  0  0  1  0  0  0],fear,
670154077481796000,Fri Nov 27 08:15:57 +0000 2015,en,anger,RT @nurliyanarayyan: "Go marry someone you know  marry someone you have seen his disappointment and anger  and you know you can handle them…,[1  0  0  1  0  1  0  0],enjoyment,
670154060813726000,Fri Nov 27 08:15:53 +0000 2015,en,anger,RT @AliceEvansGruff: Happy Thanksgiving 2015!  In a world with so much pain and senseless cruelty  so much anger and hurt… https://t.co/U3R…,[1  0  0  1  0  1  0  0],enjoyment,
670154047060447000,Fri Nov 27 08:15:50 +0000 2015,en,anger,You don't want to bottle up your anger like that  Harry  let it all out,[1  0  0  1  0  0  0  0],anger,
670154043449328000,Fri Nov 27 08:15:49 +0000 2015,und,anger, depression  anger  guilt  bitter  pity  anxiety  stress  fear https://t.co/yeyiPXqIi2,[1  0  1  0  1  1  0  0],sad,
670154037380162000,Fri Nov 27 08:15:48 +0000 2015,en,anger,RT @Tommy_Penaflor: Forgive people in your life even those who are not sorry for their actions! Holding on to anger only hurts you not them…,[1  0  0  0  1  0  0  0],anger,
670154580953535000,Fri Nov 27 08:17:57 +0000 2015,en,anger,Imagine if every time you got angry ur voice suddenly sounded like Fred Schneider,[1  0  0  1  0  0  1  0],anger,
670154576671212000,Fri Nov 27 08:17:56 +0000 2015,en,anger,RT @ItsHimMichael: Responding to someone in a calm tone when they're angry and it makes them even more angry &gt ,[1  0  0  1  0  0  0  0],anger,
670154573168841000,Fri Nov 27 08:17:55 +0000 2015,ko,anger,[Pay day 2] more big banks over kill [12 Angry Minutes] (within 12 minutes more big bank clear) clear a challenge https://t.co/fPwRh1ArqI,[1  0  0  1  0  0  0  0],anger,
670154571721806000,Fri Nov 27 08:17:55 +0000 2015,en,anger,RT @Nakborak: "Ya Allah  please protect my mouth when im angry.",[1  0  0  1  0  0  0  0],anger,
670154569364709000,Fri Nov 27 08:17:54 +0000 2015,en,anger,I should really close the keef picture  its making me really angry,[1  0  0  1  0  0  0  0],anger,
670154568777335000,Fri Nov 27 08:17:54 +0000 2015,ja,anger,Angry Luna 💦😂 imitating you  try the turban. ↖ ️ Leon... https://t.co/XeOHabPHep,[1  0  0  0  0  0  0  0],anger,
670154568198681000,Fri Nov 27 08:17:54 +0000 2015,en,anger,Don't understand people who wake up feeling rested after a nap? I wake up feeling angry and rude af,[1  0  0  0  0  0  0  0],anger,
670154559134695000,Fri Nov 27 08:17:52 +0000 2015,en,anger,RT @Nakborak: "Ya Allah  please protect my mouth when im angry.",[1  0  0  1  0  0  0  0],anger,
670154558744736000,Fri Nov 27 08:17:52 +0000 2015,en,anger,RT @Leo_Tweets:  Leo who truly loves you will be angry at you for so many things but will always stick around.,[1  0  0  1  0  0  1  0],anger,
670154550766993000,Fri Nov 27 08:17:50 +0000 2015,en,anger,im angry again ugh,[1  0  0  0  0  0  0  0],anger,
670154707449483000,Fri Nov 27 08:18:27 +0000 2015,en,anger,Went in optimistic  considering walking away out of annoyance,[1  0  0  1  0  0  0  0],anger,
